analysis,view,state_metric,morphology_metric,n,spearman_rho
sparse_anchor_spearman,full,D_state_q50,Sa,6,-0.2571428571428572
sparse_anchor_spearman,full,D_state_q50,Sq,6,-0.2571428571428572
sparse_anchor_spearman,full,D_state_q50,Sz,6,0.08571428571428573
sparse_anchor_spearman,full,D_state_q50,Sku,6,0.48571428571428577
sparse_anchor_spearman,full,multi_scale_rate_divergence_q50,Sa,6,0.2571428571428572
sparse_anchor_spearman,full,multi_scale_rate_divergence_q50,Sq,6,0.2571428571428572
sparse_anchor_spearman,full,multi_scale_rate_divergence_q50,Sz,6,-0.48571428571428577
sparse_anchor_spearman,full,multi_scale_rate_divergence_q50,Sku,6,-0.08571428571428573
sparse_anchor_spearman,full,change_configuration_support,Sa,6,0.3768511731740915
sparse_anchor_spearman,full,change_configuration_support,Sq,6,0.3768511731740915
sparse_anchor_spearman,full,change_configuration_support,Sz,6,-0.550782483869826
sparse_anchor_spearman,full,change_configuration_support,Sku,6,-0.17393131069573453
adjacent_abs_morphology_change_vs_episode_support,full,change_configuration_support,Sa,5,0.5642880936468347
adjacent_abs_morphology_change_vs_episode_support,full,change_configuration_support,Sq,5,0.5642880936468347
adjacent_abs_morphology_change_vs_episode_support,full,change_configuration_support,Sz,5,-0.10259783520851541
adjacent_abs_morphology_change_vs_episode_support,full,change_configuration_support,Sku,5,0.10259783520851541
sparse_anchor_spearman,no_ry,D_state_q50,Sa,6,0.6
sparse_anchor_spearman,no_ry,D_state_q50,Sq,6,0.6
sparse_anchor_spearman,no_ry,D_state_q50,Sz,6,-0.3714285714285715
sparse_anchor_spearman,no_ry,D_state_q50,Sku,6,-0.48571428571428577
sparse_anchor_spearman,no_ry,multi_scale_rate_divergence_q50,Sa,6,0.08571428571428573
sparse_anchor_spearman,no_ry,multi_scale_rate_divergence_q50,Sq,6,0.08571428571428573
sparse_anchor_spearman,no_ry,multi_scale_rate_divergence_q50,Sz,6,-0.028571428571428574
sparse_anchor_spearman,no_ry,multi_scale_rate_divergence_q50,Sku,6,0.028571428571428574
sparse_anchor_spearman,no_ry,change_configuration_support,Sa,6,0.11595420713048968
sparse_anchor_spearman,no_ry,change_configuration_support,Sq,6,0.11595420713048968
sparse_anchor_spearman,no_ry,change_configuration_support,Sz,6,-0.17393131069573453
sparse_anchor_spearman,no_ry,change_configuration_support,Sku,6,0.02898855178262242
adjacent_abs_morphology_change_vs_episode_support,no_ry,change_configuration_support,Sa,5,0.6155870112510925
adjacent_abs_morphology_change_vs_episode_support,no_ry,change_configuration_support,Sq,5,0.6155870112510925
adjacent_abs_morphology_change_vs_episode_support,no_ry,change_configuration_support,Sz,5,-0.15389675281277312
adjacent_abs_morphology_change_vs_episode_support,no_ry,change_configuration_support,Sku,5,0.15389675281277312
