row_type,dataset,metric,configuration_left,configuration_right,common_windows,full_spearman,segmented_trend_agreement,major_high_value_overlap,configuration_pair_count,full_spearman_q25,full_spearman_q75
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_with_corrdist,8717.0,0.978391412942516,1.0,0.9595505617977528,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_with_corrdist,8717.0,0.9794736804409278,0.8,0.6932038834951456,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_with_corrdist,8717.0,0.9595197601793269,1.0,0.676923076923077,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_with_corrdist,8717.0,0.9782380510750032,1.0,0.7182266009852217,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_with_corrdist,8717.0,0.884542161981744,0.8,0.03317535545023697,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_with_corrdist,8717.0,0.9496808228686545,1.0,0.4855195911413969,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_with_corrdist,8717.0,0.9006568450363042,1.0,0.6238361266294227,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_with_corrdist,8717.0,0.9605405317356469,1.0,0.45454545454545453,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_with_corrdist,8717.0,0.9878637392884628,1.0,0.9954233409610984,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_with_corrdist,8717.0,0.9938081889614937,1.0,0.8166666666666667,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_with_corrdist,8717.0,0.9907962630409102,1.0,0.8166666666666667,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_with_corrdist,8717.0,0.9922775546211392,1.0,0.9060109289617486,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_full_without_corrdist,8717.0,0.6278130416836851,0.8,0.0906816760475297,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_full_without_corrdist,8717.0,0.8391560424395519,0.8,0.39855653568564553,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_full_without_corrdist,8717.0,0.6545779061579886,0.8,0.28898743532889876,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_full_without_corrdist,8717.0,0.8269775561121001,0.6,0.5178416013925152,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_without_corrdist,8717.0,0.5987271025778105,0.8,0.24660471765546818,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_without_corrdist,8717.0,0.8187984795043612,1.0,0.40192926045016075,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_without_corrdist,8717.0,0.6351513232388405,0.8,0.2851879145173176,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rx_without_corrdist,8717.0,0.8537868804495986,0.6,0.5352112676056338,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_without_corrdist,8717.0,0.018508483200535848,0.4,0.016909620991253645,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_without_corrdist,8717.0,0.7480130412287446,1.0,0.3764798737174428,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_without_corrdist,8717.0,0.5211981750267906,0.6,0.2412811387900356,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_ry_without_corrdist,8717.0,0.6577074232349721,0.6,0.4533333333333333,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_without_corrdist,8717.0,0.6335985598227944,0.8,0.30538922155688625,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_without_corrdist,8717.0,0.8125947183182226,0.8,0.37756714060031593,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_without_corrdist,8717.0,0.6273323546091906,0.8,0.27021121631463946,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_mahalanobis_no_rs_without_corrdist,8717.0,0.8553837667211939,0.6,0.5669362084456424,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_diagonal_full_with_corrdist,8717.0,0.997357291844117,1.0,0.9840728100113766,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_diagonal_full_with_corrdist,8717.0,0.9924660398342017,1.0,0.8833693304535637,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_diagonal_full_with_corrdist,8717.0,0.987409371655988,1.0,0.9292035398230089,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_diagonal_full_with_corrdist,8717.0,0.9896336997479174,1.0,0.9039301310043668,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_diagonal_no_rx_with_corrdist,8717.0,0.9685863402985848,1.0,0.9617547806524185,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_diagonal_no_rx_with_corrdist,8717.0,0.9693703504868197,0.8,0.6998050682261209,,,
pairwise,Exp1,multi_scale_rate_divergence,b500_mahalanobis_full_with_corrdist,b500_diagonal_no_rx_with_corrdist,8717.0,0.9545581471073162,1.0,0.7353233830845771,,,
pairwise,Exp1,state_volatility,b500_mahalanobis_full_with_corrdist,b500_diagonal_no_rx_with_corrdist,8717.0,0.9656389543133006,1.0,0.5599284436493739,,,
pairwise,Exp1,D_state,b500_mahalanobis_full_with_corrdist,b500_diagonal_no_ry_with_corrdist,8717.0,0.8840630035979893,1.0,0.06082725060827251,,,
pairwise,Exp1,V1000_norm,b500_mahalanobis_full_with_corrdist,b500_diagonal_no_ry_with_corrdist,8717.0,0.9401357891975127,0.8,0.5125758889852559,,,
