protocol_id,feature_name,kept,selection_rule,stage_used
A_Exp1_to_Exp2,rs_corrdist_base,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rs_mean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rs_absmean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rs_q05,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rx_corrdist_base,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rs_rms,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,ry_p2p,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rx_mean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rx_absmean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
A_Exp1_to_Exp2,rx_q05,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rs_corrdist_base,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rs_mean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rs_absmean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rs_q05,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rx_corrdist_base,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rs_rms,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,ry_p2p,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rx_mean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rx_absmean,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
B_Exp2_to_Exp1,rx_q05,1,PRE_REGISTERED_LABEL_FREE_CANDIDATE,False
