protocol_id,feature_name,kept,drop_reason,correlated_with,abs_correlation,direction_free_auc,pair_set_id
A_Exp1_to_Exp2,rs_corrdist_base,1,KEPT,,0.0,0.7168287222222224,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rs_mean,1,KEPT,,0.0,0.5067726077777778,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rs_q05,1,KEPT,,0.0,0.5176854358333333,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rs_rms,1,KEPT,,0.0,0.5503210019444444,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,ry_p2p,1,KEPT,,0.0,0.7628714572222223,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rs_absmean,0,EXACT_DUPLICATE_OF_rs_mean,rs_mean,1.0,,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rx_absmean,0,HIGH_CORRELATION_KEEP_HIGHER_DIRECTION_FREE_AUC,rs_rms,0.9903688515135727,0.5270166272222222,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rx_corrdist_base,0,HIGH_CORRELATION_KEEP_HIGHER_DIRECTION_FREE_AUC,rs_corrdist_base,0.9861458142392844,0.7108230447222221,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rx_mean,0,HIGH_CORRELATION_KEEP_HIGHER_DIRECTION_FREE_AUC,rs_rms,0.9903701967582021,0.5270226188888889,A_Exp1_to_Exp2_source_train
A_Exp1_to_Exp2,rx_q05,0,HIGH_CORRELATION_KEEP_HIGHER_DIRECTION_FREE_AUC,rs_q05,0.9876611632065326,0.5005104627777778,A_Exp1_to_Exp2_source_train
B_Exp2_to_Exp1,rs_corrdist_base,1,KEPT,,0.0,0.7395342202777777,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rs_rms,1,KEPT,,0.0,0.8428342866666666,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rx_absmean,1,KEPT,,0.0,0.7020097077777778,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rx_corrdist_base,1,KEPT,,0.0,0.7804627644444444,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rx_mean,1,KEPT,,0.0,0.7020097077777778,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rx_q05,1,KEPT,,0.0,0.6786418875,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,ry_p2p,1,KEPT,,0.0,0.8339166627777777,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rs_absmean,0,EXACT_DUPLICATE_OF_rs_mean,rs_mean,1.0,,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rs_mean,0,HIGH_CORRELATION_KEEP_HIGHER_DIRECTION_FREE_AUC,rs_rms,0.9995638178153442,0.8367246513888889,B_Exp2_to_Exp1_source_train
B_Exp2_to_Exp1,rs_q05,0,HIGH_CORRELATION_KEEP_HIGHER_DIRECTION_FREE_AUC,rs_mean,0.9807637398156573,0.8086506811111112,B_Exp2_to_Exp1_source_train
