direction,setting,metric,value_mean,value_std,seed_count
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,Top_4_event_recall,0.2,0.11180339887498948,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,Top_8_event_recall,0.2,0.11180339887498948,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,adapter_frozen_fraction,0.21788363920343615,0.08013823224352228,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,adapter_update_fraction,0.7821163607965638,0.08013823224352226,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,boundary_hit_rate_250,0.0,0.0,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,boundary_hit_rate_500,0.0,0.0,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,candidate_event_count,3.4,1.140175425099138,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,event_level_f1,0.0,0.0,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,event_level_precision,0.0,0.0,5
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,mean_absolute_detection_delay,,,0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,median_absolute_detection_delay,,,0
Exp1_to_Exp2,V351_EventGate_CurrentAdapt,unmatched_candidate_count,3.4,1.140175425099138,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,Top_4_event_recall,0.1,0.13693063937629152,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,Top_8_event_recall,0.15,0.22360679774997896,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,adapter_frozen_fraction,0.34533385396329563,0.195424665024977,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,adapter_update_fraction,0.6546661460367045,0.195424665024977,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,boundary_hit_rate_250,0.1,0.13693063937629152,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,boundary_hit_rate_500,0.1,0.13693063937629152,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,candidate_event_count,3.4,1.51657508881031,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,event_level_f1,0.08888888888888889,0.12171612389003693,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,event_level_precision,0.08,0.10954451150103323,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze,mean_absolute_detection_delay,121.66666666666697,147.31391274719783,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze,median_absolute_detection_delay,121.66666666666697,147.31391274719783,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze,unmatched_candidate_count,3.0,1.0,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,Top_4_event_recall,0.35,0.2850438562747845,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,Top_8_event_recall,0.4,0.2850438562747845,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,adapter_frozen_fraction,0.4795001952362359,0.29846659337085135,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,adapter_update_fraction,0.1037094884810621,0.058751900376679406,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,boundary_hit_rate_250,0.1,0.13693063937629155,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,boundary_hit_rate_500,0.2,0.2091650066335189,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,candidate_event_count,4.2,1.7888543819998317,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,event_level_f1,0.08,0.10954451150103323,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,event_level_precision,0.06666666666666667,0.09128709291752768,5
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,mean_absolute_detection_delay,9.16666666666606,0.0,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,median_absolute_detection_delay,9.16666666666606,0.0,2
Exp1_to_Exp2,V351_EventGate_WarningFreeze_Update5,unmatched_candidate_count,3.8,1.3038404810405297,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,Top_4_event_recall,0.35,0.13693063937629152,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,Top_8_event_recall,0.5,0.25,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,adapter_frozen_fraction,0.4795001952362359,0.29846659337085135,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,adapter_update_fraction,0.1037094884810621,0.058751900376679406,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,boundary_hit_rate_250,0.15,0.13693063937629152,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,boundary_hit_rate_500,0.25,0.30618621784789724,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,candidate_event_count,7.8,2.280350850198276,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,event_level_f1,0.09047619047619049,0.0831630914122523,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,event_level_precision,0.065,0.06020797289396148,5
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,mean_absolute_detection_delay,20.277777777777374,19.245008972987875,3
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,median_absolute_detection_delay,20.277777777777374,19.245008972987875,3
Exp1_to_Exp2,V351_ResidualRerank_WarningFreeze_Update5,unmatched_candidate_count,7.2,1.7888543819998317,5
Exp1_to_Exp2,V35_HardAND_Current,Top_4_event_recall,0.15,0.13693063937629152,5
Exp1_to_Exp2,V35_HardAND_Current,Top_8_event_recall,0.15,0.13693063937629152,5
Exp1_to_Exp2,V35_HardAND_Current,adapter_frozen_fraction,0.2032725920416512,0.17839334240522547,5
Exp1_to_Exp2,V35_HardAND_Current,adapter_update_fraction,0.7967274079583488,0.17839334240522547,5
Exp1_to_Exp2,V35_HardAND_Current,boundary_hit_rate_250,0.15,0.13693063937629152,5
Exp1_to_Exp2,V35_HardAND_Current,boundary_hit_rate_500,0.15,0.13693063937629152,5
Exp1_to_Exp2,V35_HardAND_Current,candidate_event_count,3.0,1.0,5
Exp1_to_Exp2,V35_HardAND_Current,event_level_f1,0.15714285714285717,0.14419020884418823,5
Exp1_to_Exp2,V35_HardAND_Current,event_level_precision,0.16666666666666666,0.15590239111558088,5
Exp1_to_Exp2,V35_HardAND_Current,mean_absolute_detection_delay,109.16666666666697,50.0,3
