model_name,feature_group,formulation,direction_id,source_dataset,target_dataset,target_AUROC,target_AUPRC,AUPRC_baseline,Spearman_stage_AWR,Stage1_median_AWR,Stage5_median_AWR,ScoreGap,source_threshold_P95,target_Stage5_high_AWR_rate,target_Stage5_high_AWR_high_BD_occupancy,notes
M0_stable,stable_plus,mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9905692839823135,0.9429791129277373,0.1703940362087327,0.8236898361357179,-0.8833585280934229,4.494374583019803,5.377733111113225,3.482090206809838,0.9958333333333333,0.9958333333333333,Stage5 is used only as a late-state proxy label.
M1_stable,stable_plus,direction_mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9905692839823135,0.9429791129277373,0.1703940362087327,0.8236898361357179,-0.8833585280934229,4.494374583019803,5.377733111113225,3.482090206809838,0.9958333333333333,0.9958333333333333,Stage5 is used only as a late-state proxy label.
M2_stable,stable_plus,weighted_direction,Exp1_to_Exp2,Exp1,Exp2,0.9779676579660533,0.8795478479143103,0.1703940362087327,0.8348798235921152,-0.8619999939157084,4.582740403848601,5.44474039776431,5.020013654291762,0.29791666666666666,0.29791666666666666,Stage5 is used only as a late-state proxy label.
M0_stable_no_corrdist,stable_plus_no_corrdist,mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9957557766367138,0.9713197366405572,0.1703940362087327,0.8126691184647127,-1.4824283375782945,3.8793093132314223,5.361737650809717,1.352612758512297,1.0,1.0,Stage5 is used only as a late-state proxy label.
M1_stable_no_corrdist,stable_plus_no_corrdist,direction_mean_z,Exp1_to_Exp2,Exp1,Exp2,0.9957557766367138,0.9713197366405572,0.1703940362087327,0.8126691184647127,-1.4824283375782945,3.8793093132314223,5.361737650809717,1.352612758512297,1.0,1.0,Stage5 is used only as a late-state proxy label.
M2_stable_no_corrdist,stable_plus_no_corrdist,weighted_direction,Exp1_to_Exp2,Exp1,Exp2,0.9971776494080731,0.9844574992585671,0.1703940362087327,0.8418211262803431,-1.5726399592852052,4.001633667302169,5.574273626587374,2.591459734011983,0.9979166666666667,0.9979166666666667,Stage5 is used only as a late-state proxy label.
M0_stable,stable_plus,mean_z,Exp2_to_Exp1,Exp2,Exp1,0.844310508667513,0.6189795031936463,0.2412506856829402,0.7776992069371902,-4.1773281902385,0.9641789769270315,5.141507167165531,4.410593596894327,0.0,0.0,Stage5 is used only as a late-state proxy label.
M1_stable,stable_plus,direction_mean_z,Exp2_to_Exp1,Exp2,Exp1,0.844310508667513,0.6189795031936463,0.2412506856829402,0.7776992069371902,-4.1773281902385,0.9641789769270315,5.141507167165531,4.410593596894327,0.0,0.0,Stage5 is used only as a late-state proxy label.
M2_stable,stable_plus,weighted_direction,Exp2_to_Exp1,Exp2,Exp1,0.8427694406548432,0.5956657489577857,0.2412506856829402,0.8052016897260542,-3.3487429639193467,2.3970895088282385,5.745832472747585,5.049354403207515,0.0,0.0,Stage5 is used only as a late-state proxy label.
M0_stable_no_corrdist,stable_plus_no_corrdist,mean_z,Exp2_to_Exp1,Exp2,Exp1,0.8270269019174024,0.5902175781821605,0.2412506856829402,0.6897082959052429,-5.618915406184364,-1.7947762788412107,3.824139127343153,3.8824918662685355,0.0,0.0,Stage5 is used only as a late-state proxy label.
M1_stable_no_corrdist,stable_plus_no_corrdist,direction_mean_z,Exp2_to_Exp1,Exp2,Exp1,0.8270269019174024,0.5902175781821605,0.2412506856829402,0.6897082959052429,-5.618915406184364,-1.7947762788412107,3.824139127343153,3.8824918662685355,0.0,0.0,Stage5 is used only as a late-state proxy label.
M2_stable_no_corrdist,stable_plus_no_corrdist,weighted_direction,Exp2_to_Exp1,Exp2,Exp1,0.8233642927762265,0.5672326847745439,0.2412506856829402,0.7107014449562955,-5.144183037001332,-1.1562345994287881,3.987948437572544,4.522497929807248,0.0,0.0,Stage5 is used only as a late-state proxy label.
