direction,setting,metric,value_mean,value_std,seed_count
Exp1_to_Exp2,CalibrationOnly,Top_4_event_recall,0.15,0.22360679774997896,5
Exp1_to_Exp2,CalibrationOnly,Top_8_event_recall,0.55,0.2091650066335189,5
Exp1_to_Exp2,CalibrationOnly,boundary_hit_rate_250,0.5,0.30618621784789724,5
Exp1_to_Exp2,CalibrationOnly,boundary_hit_rate_500,0.6,0.2850438562747845,5
Exp1_to_Exp2,CalibrationOnly,candidate_event_count,13.8,3.7013511046643495,5
Exp1_to_Exp2,CalibrationOnly,event_level_f1,0.21590479695742854,0.10694764018486878,5
Exp1_to_Exp2,CalibrationOnly,event_level_precision,0.1392929292929293,0.06368084063782743,5
Exp1_to_Exp2,CalibrationOnly,mean_absolute_detection_delay,72.52374739039688,32.45295102752038,5
Exp1_to_Exp2,CalibrationOnly,median_absolute_detection_delay,71.69832985386248,32.398911282389435,5
Exp1_to_Exp2,CalibrationOnly,proximity_score,0.5392341684064019,0.23989667959958097,5
Exp1_to_Exp2,CalibrationOnly,stage_internal_event_count,9.6,1.9493588689617927,5
Exp1_to_Exp2,DirectTransfer,Top_4_event_recall,0.2,0.11180339887498948,5
Exp1_to_Exp2,DirectTransfer,Top_8_event_recall,0.3,0.11180339887498948,5
Exp1_to_Exp2,DirectTransfer,boundary_hit_rate_250,0.05,0.1118033988749895,5
Exp1_to_Exp2,DirectTransfer,boundary_hit_rate_500,0.3,0.11180339887498948,5
Exp1_to_Exp2,DirectTransfer,candidate_event_count,6.6,2.5099800796022267,5
Exp1_to_Exp2,DirectTransfer,event_level_f1,0.026666666666666665,0.05962847939999438,5
Exp1_to_Exp2,DirectTransfer,event_level_precision,0.01818181818181818,0.040655781409087086,5
Exp1_to_Exp2,DirectTransfer,mean_absolute_detection_delay,75.83333333333303,,1
Exp1_to_Exp2,DirectTransfer,median_absolute_detection_delay,75.83333333333303,,1
Exp1_to_Exp2,DirectTransfer,proximity_score,0.19475000000000015,0.1054251478801694,5
Exp1_to_Exp2,DirectTransfer,stage_internal_event_count,5.0,1.2247448713915892,5
Exp1_to_Exp2,DualBranchAdaptation,Top_4_event_recall,0.15,0.22360679774997896,5
Exp1_to_Exp2,DualBranchAdaptation,Top_8_event_recall,0.55,0.2091650066335189,5
Exp1_to_Exp2,DualBranchAdaptation,boundary_hit_rate_250,0.45,0.2091650066335189,5
Exp1_to_Exp2,DualBranchAdaptation,boundary_hit_rate_500,0.55,0.2091650066335189,5
Exp1_to_Exp2,DualBranchAdaptation,candidate_event_count,14.0,3.5355339059327378,5
Exp1_to_Exp2,DualBranchAdaptation,event_level_f1,0.19423813029076187,0.06713896714754804,5
