direction_id,horizon_cycles,model,prediction_count,MAE_P,RMSE_P,direction_accuracy_P,MAE_BD,RMSE_BD,direction_accuracy_BD,MAE_B,RMSE_B,direction_accuracy_B
Exp1_to_Exp2,100,Frozen,2778,1.5698886532016048,2.196076279260281,0.5115190784737221,5.811389184951875,9.401945041306556,0.5187185025197985,1.3759155225329012,1.8087301772921467,0.5259179265658748
Exp1_to_Exp2,100,Online_RLS,2778,1.962933260592652,3.2494965267543248,0.4848812095032397,13.584991440294472,26.5192447700951,0.5129589632829373,2.353370552779947,4.974825916074551,0.5583153347732182
Exp1_to_Exp2,500,Frozen,2698,4.947154540430898,6.052696399264654,0.5600444773906598,13.50942340898639,18.44622428242337,0.6415863602668643,3.684428361358949,4.425941013281516,0.5252038547071906
Exp1_to_Exp2,500,Online_RLS,2698,3.665604143827912,5.88562517665911,0.4896219421793921,28.77935686907213,48.97958234621545,0.5852483320978502,4.438932458868361,6.830340262900656,0.4877687175685693
Exp1_to_Exp2,1000,Frozen,2598,8.783210798206923,11.287388677374391,0.5311778290993071,17.98108346524915,23.89633173182444,0.6759045419553503,5.285489257400922,6.348355812596787,0.5200153964588144
Exp1_to_Exp2,1000,Online_RLS,2598,4.859988051598275,7.035996214032848,0.577752117013087,42.1076332311638,59.17600904562183,0.5727482678983834,8.138036043728382,12.09987372053778,0.5196304849884527
Exp2_to_Exp1,100,Frozen,9076,0.5606197439899682,0.77823401511616,0.4756500661084178,5.717191472267481,6.246090564898548,0.5274349933891582,0.962315589213482,1.0791479302015852,0.4354341119435875
Exp2_to_Exp1,100,Online_RLS,9076,0.7334621214220639,1.4768828299191246,0.5190612604671662,1.9316682907087757,7.6717609330642595,0.5423093873953283,0.643988264446264,2.498017640779429,0.5229175848391362
Exp2_to_Exp1,500,Frozen,8996,1.3744925865010589,1.820743774399046,0.5273454868830592,17.972847192493656,19.115638585672784,0.5513561582925744,2.873989563781832,3.054066316218813,0.378501556247221
Exp2_to_Exp1,500,Online_RLS,8996,2.298966864741426,5.34457280286522,0.4965540240106714,5.464253091235921,12.484807521007456,0.5146731880835927,2.527891824150282,9.828404853379435,0.4993330369052912
Exp2_to_Exp1,1000,Frozen,8896,2.6255781648372376,3.2472794538777494,0.5139388489208633,14.62500212891241,15.98513219551812,0.5755395683453237,4.8708210528052245,5.10254343396923,0.3716276978417266
Exp2_to_Exp1,1000,Online_RLS,8896,3.655236375851292,7.146279766854985,0.5141636690647482,7.933457930579681,14.806222226288298,0.5524955035971223,3.820477516595993,10.24933944792471,0.5198965827338129
