protocol_id,output_name,horizon_cycles,model,prediction_count,MAE,RMSE,direction_accuracy
A_Exp1_to_Exp2,D_state,100,Zero_Delta,261,5.880452226833398,9.739226543023776,0.0
A_Exp1_to_Exp2,D_state,100,Local_Linear,261,5.894323081620785,9.801168109445412,0.5325670498084292
A_Exp1_to_Exp2,D_state,100,Kalman_Trend,261,7.384351067574644,11.214356661642066,0.4482758620689655
A_Exp1_to_Exp2,D_state,100,Frozen_Ridge,261,6.484852995792432,9.63907322156262,0.4636015325670498
A_Exp1_to_Exp2,D_state,100,Robust_Online_RLS,261,10.504231838420438,14.439411491235727,0.4904214559386973
A_Exp1_to_Exp2,D_state,100,Safe_Ensemble,261,6.484852995792432,9.63907322156262,0.4636015325670498
A_Exp1_to_Exp2,D_state,500,Zero_Delta,253,12.889075695859455,16.432985246421115,0.0
A_Exp1_to_Exp2,D_state,500,Local_Linear,253,13.237458860104995,17.05942022763102,0.5098814229249012
A_Exp1_to_Exp2,D_state,500,Kalman_Trend,253,23.874684467980227,30.18235339310675,0.3359683794466403
A_Exp1_to_Exp2,D_state,500,Frozen_Ridge,253,12.793129846002904,15.8862036915246,0.5731225296442688
A_Exp1_to_Exp2,D_state,500,Robust_Online_RLS,253,16.96183390074736,20.328871207593757,0.5612648221343873
A_Exp1_to_Exp2,D_state,500,Safe_Ensemble,253,12.793129846002904,15.8862036915246,0.5731225296442688
A_Exp1_to_Exp2,D_state,1000,Zero_Delta,243,14.611802897402695,18.06290945252214,0.0
A_Exp1_to_Exp2,D_state,1000,Local_Linear,243,16.04609257742508,20.02955965446362,0.4773662551440329
A_Exp1_to_Exp2,D_state,1000,Kalman_Trend,243,40.46794574045652,50.10324532542524,0.2716049382716049
A_Exp1_to_Exp2,D_state,1000,Frozen_Ridge,243,13.289615199919847,16.574153082945422,0.6954732510288066
A_Exp1_to_Exp2,D_state,1000,Robust_Online_RLS,243,16.37837325527006,21.490834877657605,0.7283950617283951
A_Exp1_to_Exp2,D_state,1000,Safe_Ensemble,243,13.289615199919847,16.574153082945422,0.6954732510288066
A_Exp1_to_Exp2,V50_norm,100,Zero_Delta,261,2.174007790149492,3.331059923956839,0.0
A_Exp1_to_Exp2,V50_norm,100,Local_Linear,261,2.1783760703250423,3.334372615115018,0.4865900383141762
A_Exp1_to_Exp2,V50_norm,100,Kalman_Trend,261,2.628421102062437,3.997540086942816,0.318007662835249
A_Exp1_to_Exp2,V50_norm,100,Frozen_Ridge,261,4.757747899173653,5.750713009803774,0.5670498084291188
A_Exp1_to_Exp2,V50_norm,100,Robust_Online_RLS,261,2.483688030642018,3.458836868653107,0.5938697318007663
A_Exp1_to_Exp2,V50_norm,100,Safe_Ensemble,261,4.307670176337827,5.403018978564597,0.5593869731800766
A_Exp1_to_Exp2,V50_norm,500,Zero_Delta,253,2.4105245030967137,3.5615411722456884,0.0
A_Exp1_to_Exp2,V50_norm,500,Local_Linear,253,2.4361490546397526,3.564789473054563,0.4782608695652174
A_Exp1_to_Exp2,V50_norm,500,Kalman_Trend,253,5.502495671880934,7.680007658152255,0.217391304347826
A_Exp1_to_Exp2,V50_norm,500,Frozen_Ridge,253,5.627485154236436,6.90092024076281,0.5019762845849802
