protocol_id,target_dataset,start_cycle,end_cycle,peak_cycle,peak_change_score,configuration_support,location_uncertainty,configuration_peak_count,evidence_composition,directed_composition,rate_divergence_composition,abrupt_composition,dominant_evidence,covers_guard_or_stop_boundary
A_Exp1_to_Exp2,Exp2,1210.5,1895.5,1825.5,27.810658647668184,1.0,265.0,16,directed=0.000;rate_divergence=0.669;abrupt=0.269,0.0,0.6694711538461539,0.2692307692307692,rate_divergence,True
A_Exp1_to_Exp2,Exp2,2695.5,4155.5,3090.5,78.36251375981226,1.0,5.0,24,directed=0.120;rate_divergence=0.438;abrupt=0.764,0.1197318007662835,0.4382183908045977,0.764367816091954,abrupt,True
A_Exp1_to_Exp2,Exp2,6360.5,6470.5,6390.5,2.8836619950342097,0.625,0.0,24,directed=0.311;rate_divergence=0.064;abrupt=0.303,0.31140350877192985,0.06359649122807016,0.3026315789473684,directed,False
A_Exp1_to_Exp2,Exp2,6900.5,7300.5,7285.5,60.97194349371567,1.0,10.0,24,directed=0.100;rate_divergence=0.653;abrupt=0.609,0.1002824858757062,0.6532485875706214,0.6087570621468927,rate_divergence,True
A_Exp1_to_Exp2,Exp2,7805.5,8155.5,7840.5,16.733271127644507,0.9166666666666666,112.5,24,directed=0.036;rate_divergence=0.658;abrupt=0.406,0.03571428571428571,0.6577380952380951,0.40625,rate_divergence,True
A_Exp1_to_Exp2,Exp2,8410.5,8840.5,8710.5,25.374971705132847,1.0,0.0,24,directed=0.395;rate_divergence=0.736;abrupt=0.750,0.39473684210526316,0.7357456140350879,0.75,abrupt,False
A_Exp1_to_Exp2,Exp2,9155.5,13300.5,10585.5,82.99504666792242,1.0,30.0,24,directed=0.133;rate_divergence=0.486;abrupt=0.654,0.13298051075268816,0.4864751344086022,0.6536458333333334,abrupt,True
B_Exp2_to_Exp1,Exp1,1105.5,1530.5,1525.5,15.407779037442083,1.0,0.0,16,directed=0.031;rate_divergence=0.740;abrupt=0.240,0.03125,0.7395833333333334,0.23958333333333334,rate_divergence,True
B_Exp2_to_Exp1,Exp1,7570.5,7985.5,7655.5,31.581472466067964,1.0,16.25,24,directed=0.357;rate_divergence=0.298;abrupt=0.699,0.35714285714285715,0.29811507936507936,0.6989087301587302,abrupt,True
B_Exp2_to_Exp1,Exp1,19655.5,19755.5,19755.5,32.34559550654086,0.5833333333333334,0.0,24,directed=0.000;rate_divergence=0.542;abrupt=0.125,0.0,0.5416666666666667,0.125,rate_divergence,False
B_Exp2_to_Exp1,Exp1,21130.5,21250.5,21180.5,25.865026594274248,1.0,1.25,24,directed=0.142;rate_divergence=0.646;abrupt=0.530,0.14204545454545459,0.6458333333333334,0.5303030303030304,rate_divergence,False
B_Exp2_to_Exp1,Exp1,27840.5,27960.5,27900.5,28.424311063313745,0.875,1.25,24,directed=0.282;rate_divergence=0.668;abrupt=0.640,0.2816666666666666,0.6683333333333333,0.6399999999999999,rate_divergence,False
B_Exp2_to_Exp1,Exp1,34595.5,34895.5,34610.5,18.783822969889417,0.7916666666666666,63.75,24,directed=0.342;rate_divergence=0.293;abrupt=0.475,0.34232026143790845,0.2933006535947712,0.47549019607843146,abrupt,True
B_Exp2_to_Exp1,Exp1,39120.5,39320.5,39120.5,12.830977759734218,0.5833333333333334,1.25,24,directed=0.292;rate_divergence=0.396;abrupt=0.427,0.2916666666666667,0.3958333333333333,0.4270833333333333,abrupt,False
B_Exp2_to_Exp1,Exp1,41365.5,42135.5,41370.5,22.184830760699782,0.6666666666666666,22.5,24,directed=0.232;rate_divergence=0.294;abrupt=0.442,0.23183760683760687,0.29380341880341876,0.4423076923076923,abrupt,True
B_Exp2_to_Exp1,Exp1,45015.5,45220.5,45015.5,21.54998148280181,0.6666666666666666,0.0,24,directed=0.292;rate_divergence=0.304;abrupt=0.408,0.2916666666666667,0.3041666666666667,0.4083333333333333,abrupt,True
