protocol_id,target_dataset,event,evidence_type,cycle,run_cycles
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,2790.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,2790.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,directed_change_evidence,2795.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,2845.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,directed_change_evidence,2850.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,3455.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,4120.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,4220.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,4910.5,500.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,low_activity_evidence,6370.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,7120.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,7295.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,7350.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,7350.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,7900.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,7980.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,8795.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,8810.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,8865.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,8895.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,9400.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,9455.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,9705.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,10295.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,10350.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,10860.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,acceleration_evidence,10895.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,acceleration_evidence,10945.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,11205.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,11380.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,11790.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,directed_change_evidence,11795.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,directed_change_evidence,11845.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,12310.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,abrupt_change_evidence,12705.5,100.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_offset,abrupt_change_evidence,13305.5,0.0
A_Exp1_to_Exp2,Exp2,algorithm_evidence_onset,low_activity_evidence,13830.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,low_activity_evidence,1885.5,500.0
B_Exp2_to_Exp1,Exp1,algorithm_evidence_onset,abrupt_change_evidence,7705.5,100.0
